"filename", "language", "YAML", "Go Work File", "Docker", "Makefile", "Go", "Properties", "Go Module File", "Go Checksum File", "JavaScript", "Markdown", "PostCSS", "vue", "TypeScript", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisCapacitaciones.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -3, -8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisConstancias.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 1, 24, 198
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisExamenes.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisLicencias.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 6, 52, 282
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/PerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -64, 0, -1, -2, -67
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ResponderExamen.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 11
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/UserLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 6, 4, 40
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/VerCapacitacion.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 10, 2, 37
"/home/MictDev/Projects/Capacitaciones-mh/frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 22, 0, 30
"/home/MictDev/Projects/Capacitaciones-mh/gateway/Dockerfile", "Docker", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"/home/MictDev/Projects/Capacitaciones-mh/gateway/cmd/server/main.go", "Go", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 13
"/home/MictDev/Projects/Capacitaciones-mh/gateway/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/MictDev/Projects/Capacitaciones-mh/gateway/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/config/config.go", "Go", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 35
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/compras.go", "Go", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 77
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/cursos.go", "Go", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 78, 10, 224
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/dc3.go", "Go", 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 138, 45, 513
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/diagnostic.go", "Go", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 69
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/email.go", "Go", 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, -11, -12, -61
"/home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/foros.go", "Go", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 49
