"filename", "language", "Docker", "Go Module File", "Python", "YAML", "Properties", "Go Work File", "MS SQL", "Go", "Makefile", "Markdown", "Ignore", "Go Checksum File", "JavaScript", "JSON", "Dotenv", "HTML", "TypeScript", "vue", "JSON with Comments", "XML", "PostCSS", "Shell Script", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Modal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 9, 16, 146
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Panel.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 24, 20, 117
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Panel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 41, 50, 581
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DashboardCharts.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 15, 198
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DragDropUpload.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 40, 305
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/EmptyState.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GameConfigEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 0, 0, 0, 0, 10, 52, 672
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GradientPicker.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 7, 93
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/InteractiveActivity.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1862, 0, 0, 0, 0, 39, 116, 2017
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/LlamadaTimbrando.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 25, 235
