"filename", "language", "YAML", "Go Module File", "Dotenv", "Docker", "Go Work File", "Go", "Python", "Makefile", "Ignore", "Go Checksum File", "Shell Script", "JSON", "TypeScript", "HTML", "Properties", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/TheWelcome.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 14, 96
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoCallModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 20, 159
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoPlayer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 14, 140
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/WelcomeItem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 11, 87
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconSupport.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconTooling.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useTheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
