"filename", "language", "Docker", "Python", "Go Module File", "Go Checksum File", "Go", "TypeScript", "JSON", "Dotenv", "Ignore", "JSON with Comments", "JavaScript", "vue", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Proyectos\capacitaciones'mh\frontend\src\views\shared\PublicProfileView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 38, 325
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\DashboardView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 3, 26, 388
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\ExamenFormView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 481, 0, 0, 0, 11, 29, 521
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\MisCapacitaciones.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 906, 0, 0, 0, 2, 86, 994
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\MisExamenes.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 12, 36, 426
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\PerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439, 0, 0, 0, 8, 36, 483
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\ResponderExamen.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 4, 18, 212
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\UserLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 105
"c:\Proyectos\capacitaciones'mh\frontend\src\views\user\VerCapacitacion.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1605, 0, 0, 0, 34, 125, 1764
"c:\Proyectos\capacitaciones'mh\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"c:\Proyectos\capacitaciones'mh\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Proyectos\capacitaciones'mh\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Proyectos\capacitaciones'mh\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Proyectos\capacitaciones'mh\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Proyectos\capacitaciones'mh\go.mod", "Go Module File", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Proyectos\capacitaciones'mh\go.sum", "Go Checksum File", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Proyectos\capacitaciones'mh\internal\db\db.go", "Go", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Proyectos\capacitaciones'mh\internal\db\schema.go", "Go", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 211
"c:\Proyectos\capacitaciones'mh\internal\handlers\auth.go", "Go", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 199
"c:\Proyectos\capacitaciones'mh\internal\handlers\capacitaciones.go", "Go", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 213
"c:\Proyectos\capacitaciones'mh\internal\handlers\email.go", "Go", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"c:\Proyectos\capacitaciones'mh\internal\handlers\examenes.go", "Go", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 443
"c:\Proyectos\capacitaciones'mh\internal\handlers\foros.go", "Go", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 187
"c:\Proyectos\capacitaciones'mh\internal\handlers\instructor.go", "Go", 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49, 564
"c:\Proyectos\capacitaciones'mh\internal\handlers\intermedias.go", "Go", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 218
"c:\Proyectos\capacitaciones'mh\internal\handlers\lecciones.go", "Go", 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 262
"c:\Proyectos\capacitaciones'mh\internal\handlers\perfil.go", "Go", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 188
"c:\Proyectos\capacitaciones'mh\internal\handlers\recaptcha.go", "Go", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Proyectos\capacitaciones'mh\internal\handlers\usuarios.go", "Go", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
"c:\Proyectos\capacitaciones'mh\internal\middleware\auth.go", "Go", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\Proyectos\capacitaciones'mh\internal\middleware\ratelimit.go", "Go", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Proyectos\capacitaciones'mh\internal\models\models.go", "Go", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 139
"c:\Proyectos\capacitaciones'mh\main.go", "Go", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 183
"c:\Proyectos\capacitaciones'mh\write_clean.py", "Python", 0, 790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 796
"Total", "-", 22, 818, 37, 92, 2856, 347, 6073, 7, 11, 11, 23, 10086, 17, 597, 1, 78, 1427, 22503
